id,word,category,sentenceJapanese,sentenceRomaji,sentenceEnglish
sent-0013,挙げる,Essential Verbs,彼女は夕食の献立について意見を挙げた。,Kanojo wa yuushoku no kondate ni tsuite iken o ageta.,She gave her opinion on the dinner menu.
sent-0014,挙げる,Essential Verbs,良い例として彼の行動を挙げることができます。,Yoi rei toshite kare no koudou o ageru koto ga dekimasu.,We can cite his actions as a good example.
sent-0015,挙げる,Essential Verbs,戦術の失敗例をいくつか挙げて、注意を促す必要がある。,"Senjutsu no shippai rei o ikutsu ka agete, chuui o unagasu hitsuyou ga aru.",We need to point out several tactical failure examples and urge caution.
sent-0016,揚げる,Essential Verbs,魚を揚げるのにこの油が最適だ。,Sakana o ageru no ni kono abura ga saiteki da.,This oil is perfect for frying fish.
sent-0017,揚げる,Essential Verbs,私はポテトを揚げるのが上手です。,Watashi wa poteto o ageru no ga jouzu desu.,I am good at frying potatoes.
sent-0018,揚げる,Essential Verbs,このチキンは十分に揚げられていない。,Kono chikin wa juubun ni agerarete inai.,This chicken is not fried enough.
sent-0019,揚げる,Essential Verbs,焼いたり揚げたりする料理が大好きです。,Yaitari agetari suru ryouri ga daisuki desu.,I love dishes that are grilled and fried.
sent-0020,揚げる,Essential Verbs,油で揚げる前に、天ぷら粉をかけてください。,"Abura de ageru mae ni, tempura-ko o kakete kudasai.",Please coat with tempura flour before frying in oil.
sent-0021,開ける,Essential Verbs,窓を開けると、新鮮な空気が部屋に入ってきた。,"Mado o akeru to, shinsen na kuuki ga heya ni haitte kita.","When I opened the window, fresh air came into the room."
sent-0022,開ける,Essential Verbs,誕生日プレゼントを開けるのが楽しみだ。,Tanjoubi purezento o akeru no ga tanoshimi da.,I'm looking forward to opening my birthday present.
sent-0023,開ける,Essential Verbs,鍵をかけているので、ドアを開けることができません。,"Kagi o kakete iru node, doa o akeru koto ga dekimasen.",I can't open the door because it's locked.
sent-0024,開ける,Essential Verbs,新しいワインを開ける時は、友達と一緒に楽しむつもりだ。,"Atarashii wain o akeru toki wa, tomodachi to issho ni tanoshimu tsumori da.",I plan to enjoy opening the new wine with friends.
sent-0025,開ける,Essential Verbs,彼は慌てて封筒を開けた。,Kare wa awatete fuutou o aketa.,He hurriedly opened the envelope.
sent-0026,空ける,Essential Verbs,部屋を空けることになります。,Heya o akeru koto ni narimasu.,I will have to vacate my room.
sent-0027,空ける,Essential Verbs,会議室を急いで空けるようにしてください。,Kaigishitsu o isoide akeru you ni shite kudasai.,Please make sure to vacate the meeting room as soon as possible.
sent-0028,空ける,Essential Verbs,彼女は机の上を空けました。,Kanojo wa tsukue no ue o akemashita.,She cleared off the desk.
sent-0029,空ける,Essential Verbs,教室をしばらく空けておいてください。,Kyoushitsu o shibaraku akete oite kudasai.,Please leave the classroom empty for a while.
sent-0030,空ける,Essential Verbs,荷物を全部取り出して、トランクを空けました。,"Nimotsu o zenbu toridashite, toranku o akemashita.",I took out all the luggage and emptied the trunk.
sent-0031,明ける,Essential Verbs,夜が明けると、鳥たちが歌い始める。,"Yoru ga akeru to, toritachi ga utaihajimeru.","When the night breaks, the birds start singing."
sent-0032,明ける,Essential Verbs,新年が明けると、みんなでお祝いをした。,"Shinnen ga akeru to, minna de oiwai o shita.","When the New Year came, everyone celebrated together."
sent-0033,明ける,Essential Verbs,休暇が明けると、彼は旅行に行く予定です。,"Kyuuka ga akeru to, kare wa ryokou ni iku yotei desu.","When the vacation is over, he plans to go on a trip."
sent-0034,明ける,Essential Verbs,夜が明けるまで、休憩室で待っていてください。,"Yoru ga akeru made, kyuukeishitsu de matteite kudasai.",Please wait in the break room until dawn.
sent-0035,明ける,Essential Verbs,夏休みが明けると、学校が再開される。,"Natsuyasumi ga akeru to, gakkou ga saikai sareru.","When summer vacation ends, school resumes."
sent-0036,あきらめる,Essential Verbs,彼は試験に合格することをあきらめた。,Kare wa shiken ni goukaku suru koto o akirameta.,He gave up on passing the exam.
sent-0037,あきらめる,Essential Verbs,成功するためには、途中であきらめることを避けなければなりません。,"Seikou suru tame ni wa, tochuu de akirameru koto o yokenakereba narimasen.","To succeed, you must avoid giving up halfway."
sent-0038,あきらめる,Essential Verbs,そのプロジェクトは困難だが、あきらめるわけにはいかない。,"Sono purojekuto wa konnan da ga, akirameru wake ni wa ikanai.","The project is difficult, but I cannot give up."
sent-0039,あきらめる,Essential Verbs,彼女は夢を追い求めて、現実をあきらめることはできなかった。,"Kanojo wa yume o oimotomete, genjitsu o akirameru koto wa dekinakatta.",She pursued her dreams and could not give up on reality.
sent-0040,あきらめる,Essential Verbs,彼は難しい仕事に直面しても、あきらめることなく最後まで yaritogeta.,"Kare wa muzukashii shigoto ni chokumen shite mo, akirameru koto naku saigo made yaritogeta.","Even when faced with a difficult job, he did not give up and saw it through to the end."
sent-0041,飽きる,Essential Verbs,同じ仕事を続けていると飽きることがある。,Onaji shigoto o tsudzuketeiru to akiru koto ga aru.,Continuing the same job can sometimes make you bored.
sent-0042,飽きる,Essential Verbs,彼は簡単に飽きる性格です。,Kare wa kantan ni akiru seikaku desu.,He has a personality that gets bored easily.
sent-0043,飽きる,Essential Verbs,子供たちはすぐにそのおもちゃに飽きてしまった。,Kodomo-tachi wa sugu ni sono omocha ni akite shimatta.,The children quickly got tired of that toy.
sent-0044,飽きる,Essential Verbs,あの映画は見るたびに飽きない。,Ano eiga wa miru tabi ni akiranai.,I never get tired of watching that movie.
sent-0045,飽きる,Essential Verbs,長時間勉強すると飽きるに違いない。,Choujikan benkyou suru to akiru ni chigai nai.,It's certain that you get bored if you study for a long time.
sent-0046,開く,Essential Verbs,ドアを開けるには鍵が必要です。,Doa o akeru ni wa kagi ga hitsuyou desu.,You need a key to open the door.
sent-0047,開く,Essential Verbs,彼女は窓を開けて新鮮な空気を家に入れた。,Kanojo wa mado o akete shinsen na kuuki o ie ni ireta.,She opened the window to let fresh air into the house.
sent-0048,開く,Essential Verbs,新しいレストランがこの通りに開きました。,Atarashii resutoran ga kono toori ni akimashita.,A new restaurant has opened on this street.
sent-0049,開く,Essential Verbs,部屋に入る前に靴を脱ぎ、ドアをそっと開けた。,"Heya ni hairu mae ni kutsu o nugi, doa o sotto aketa.","Before entering the room, I took off my shoes and gently opened the door."
sent-0050,開く,Essential Verbs,これから始まるミーティングのために資料を開けておいてください。,Kore kara hajimaru miitingu no tame ni shiryou o akete oite kudasai.,Please open the materials in preparation for the upcoming meeting.
sent-0051,空く,Essential Verbs,座席が空いているかどうか確認してください。,Zaseki ga aite iru ka dou ka kakunin shite kudasai.,Please check if there are any seats available.
sent-0052,空く,Essential Verbs,駐車場が空くのを待っていた。,Chuushajou ga aku no o matte ita.,I was waiting for a parking space to open up.
sent-0053,空く,Essential Verbs,仕事が終わった後、夕方に時間が空く予定です。,"Shigoto ga owatta ato, yuugata ni jikan ga aku yotei desu.","After finishing work, I expect to have some free time in the evening."
sent-0054,空く,Essential Verbs,予約がキャンセルされたため、美容院の予約が空きました。,"Yoyaku ga kyanseru sareta tame, biyouin no yoyaku ga akimashita.",The reservation at the beauty salon became available due to a cancellation.
sent-0055,空く,Essential Verbs,今日は午後からスケジュールが空いています。,Kyou wa gogo kara sukejuuru ga aite imasu.,My schedule is open from this afternoon.
sent-0056,争う,Essential Verbs,彼らは地位を争っている。,Karera wa chii o arasotte iru.,They are competing for position.
sent-0057,争う,Essential Verbs,二人の選手が優勝を争った。,Futari no senshu ga yuushou o arasotta.,The two athletes competed for the championship.
sent-0058,争う,Essential Verbs,その兄弟は相続権を争っていた。,Sono kyoudai wa souzokken o arasotte ita.,The siblings were fighting over inheritance rights.
sent-0059,争う,Essential Verbs,複数の会社がこのプロジェクトに関する契約を争っている。,Fukusuu no kaisha ga kono purojekuto ni kan suru keiyaku o arasotte iru.,Several companies are competing for the contract related to this project.
sent-0060,争う,Essential Verbs,国家間で資源を争うことが多い。,Kokka kan de shigen o arasou koto ga ooi.,Countries often compete over resources.
sent-0061,洗う,Essential Verbs,手を洗う必要があります。,Te o arau hitsuyou ga arimasu.,You need to wash your hands.
sent-0062,洗う,Essential Verbs,彼は毎日車を洗っている。,Kare wa mainichi kuruma o aratte iru.,He washes his car every day.
sent-0063,洗う,Essential Verbs,食後に皿を洗わなければなりません。,Shokugo ni sara o arawanakereba narimasen.,You have to wash the dishes after the meal.
sent-0064,洗う,Essential Verbs,顔を洗って目を覚ます。,Kao o aratte me o samasu.,Wash your face to wake up.
sent-0065,洗う,Essential Verbs,彼女は週末に部屋を大掃除して窓も洗いました。,Kanojo wa shuumatsu ni heya o oosouji shite mado mo araimashita.,She did a thorough cleaning of her room on the weekend and washed the windows too.
sent-0066,現れる,Essential Verbs,彼が予期せぬ時に現れた。,Kare ga yokisenu toki ni arawareta.,He appeared unexpectedly.
sent-0067,現れる,Essential Verbs,春になると桜の花が咲き、その美しさが現れる。,"Haru ni naru to, sakura no hana ga saki, utsukushisa ga arawareru.","In spring, cherry blossoms bloom and their beauty appears."
sent-0068,現れる,Essential Verbs,忍耐力が試される状況で彼女の本当の性格が現れた。,Nintairyoku ga tamesareru joukyou de kanojo no hontou no seikaku ga arawareta.,Her true nature appeared in a situation where her patience was tested.
sent-0069,現れる,Essential Verbs,彼らは突然現れて私たちに驚かせた。,Karera wa totsuzen arawarite watashitachi ni odorokaseta.,They appeared suddenly and surprised us.
sent-0070,現れる,Essential Verbs,言葉に現れる文化の違いを理解することが重要です。,Kotoba ni arawareru bunka no chigai o rikai suru koto ga juuyou desu.,It is important to understand the cultural differences that appear in words.
sent-0071,表れる,Essential Verbs,彼女の顔に喜びが表れた。,Kanojo no kao ni yorokobi ga arawareta.,Joy was expressed on her face.
sent-0072,表れる,Essential Verbs,彼の態度に不満が表れている。,Kare no taido ni fuman ga arawarete iru.,Dissatisfaction is shown in his attitude.
sent-0073,表れる,Essential Verbs,春が来ると、桜の花が咲き、その魅力が表れる。,"Haru ga kuru to, sakura no hana ga saki, sono miryoku ga arawareru.","When spring comes, cherry blossoms bloom and their charm appears."
sent-0074,表れる,Essential Verbs,彼女の目に感謝の気持ちが表れた。,Kanojo no me ni kansha no kimochi ga arawareta.,A feeling of gratitude was expressed in her eyes.
sent-0075,表れる,Essential Verbs,その絵には作者の感情が色濃く表れている。,Sono e ni wa sakusha no kanjou ga irokoku arawarete iru.,The author's emotions are vividly expressed in the painting.
sent-0076,現す,Essential Verbs,彼女は感情を現すのが得意ではない。,Kanojo wa kanjou o arawasu no ga tokui de wa nai.,She is not good at showing her emotions.
sent-0077,現す,Essential Verbs,彼は自分のアイデアを具体的に現すために、模型を作成した。,"Kare wa jibun no aidea o gutaiteki ni arawasu tame ni, mokei o sakusei shita.",He created a model to concretely express his idea.
sent-0078,現す,Essential Verbs,この映画は現代社会を象徴する問題を現している。,Kono eiga wa gendaishakai o shouchou suru mondai o arawashite iru.,This movie expresses the issues that symbolize modern society.
sent-0079,現す,Essential Verbs,芸術家は感情や想像力を作品に現す。,Geijutsuka wa kanjou ya souzouryoku o sakuhin ni arawasu.,Artists express their emotions and imagination in their works.
sent-0080,現す,Essential Verbs,彼女は真実を現そうとして、何も隠さず話してくれた。,"Kanojo wa shinjitsu o arawasou toshite, nanimo kakusazu hanashite kureta.",She tried to reveal the truth and talked to me without hiding anything.
sent-0081,表す,Essential Verbs,彼の顔は喜びを表していた。,Kare no kao wa yorokobi o arawashite ita.,His face expressed joy.
sent-0082,表す,Essential Verbs,この絵は作者の感情をうまく表している。,Kono e wa sakusha no kanjou o umaku arawashite iru.,This painting well represents the author's emotions.
sent-0083,表す,Essential Verbs,彼は言葉で気持ちを表すのが苦手だ。,Kare wa kotoba de kimochi o arawasu no ga nigate da.,He is not good at expressing his feelings through words.
sent-0084,表す,Essential Verbs,彼女は満足そうに頷くことで同意を表した。,Kanojo wa manzokusou ni unazuku koto de doui o arawashita.,She expressed her agreement by nodding with satisfaction.
sent-0085,表す,Essential Verbs,恩返しの気持ちを表すためにプレゼントを贈った。,Ongaeshi no kimochi o arawasu tame ni purezento o okutta.,I gave a gift to express my gratitude.
sent-0086,著す,Essential Verbs,彼は多くの著名な本を著している。,Kare wa ooku no chomeina hon o arashite iru.,He has authored many well-known books.
sent-0087,著す,Essential Verbs,その作家は歴史に関する本を著すことで有名だ。,Sono sakka wa rekishi ni kansuru hon o arasu koto de yuumei da.,The author is famous for writing books about history.
sent-0088,著す,Essential Verbs,科学者たちは研究論文を著す必要がある。,Kagakusha-tachi wa kenkyuu ronbun o arasu hitsuyou ga aru.,Scientists need to write research papers.
sent-0089,著す,Essential Verbs,彼女は自分の体験をもとに本を著しました。,Kanojo wa jibun no taiken o moto ni hon o arashimashita.,She wrote a book based on her own experiences.
sent-0090,著す,Essential Verbs,その教授は多くの学術論文を著し、専門家として評価されている。,"Sono kyouju wa ooku no gakujutsu ronbun o arashite, senmonka toshite hyouka sarete iru.",The professor has authored numerous academic papers and is highly valued as an expert.
sent-0091,ある（有る、在る）,Essential Verbs,ある日、彼は仕事で大成功しました。,"Aru hi, kare wa shigoto de daiseikou shimashita.","One day, he achieved great success at work."
sent-0092,ある（有る、在る）,Essential Verbs,この部屋の中には、ある意味があります。,"Kono heya no naka ni wa, aru imi ga arimasu.",There is a certain meaning in this room.
sent-0093,ある（有る、在る）,Essential Verbs,彼女はある秘密を隠しています。,Kanojo wa aru himitsu o kakushiteimasu.,She is hiding a certain secret.
sent-0094,ある（有る、在る）,Essential Verbs,彼は有るべき道を進んでいる。,Kare wa arubeki michi o susundeiru.,He is going down the path that he should be on.
sent-0095,ある（有る、在る）,Essential Verbs,ある程度の努力は必要だ。,Aru teido no doryoku wa hitsuyou da.,A certain amount of effort is necessary.
sent-0096,歩く,Essential Verbs,この道をまっすぐ歩くと、駅に着きます。,"Kono michi o massugu aruku to, eki ni tsukimasu","If you walk straight on this road, you will arrive at the station."
sent-0097,歩く,Essential Verbs,今日は仕事が終わったら公園を歩くつもりです。,Kyou wa shigoto ga owattara kouen o aruku tsumori desu,"Today, I plan to walk in the park after finishing work."
sent-0098,歩く,Essential Verbs,毎日20分歩くことで、健康に良い影響があると言われています。,"Mainichi 20-pun aruku koto de, kenkou ni yoi eikyou ga aru to iwareteimasu",It is said that walking for 20 minutes every day has a positive impact on health.
sent-0099,歩く,Essential Verbs,疲れたので、ゆっくり歩いて帰ります。,"Tsukareta node, yukkuri aruite kaerimasu","I'm tired, so I'll walk slowly back home."
sent-0100,歩く,Essential Verbs,雨が降っているので傘を持って歩く必要があります。,"Ame ga futte iru node, kasa o motte aruku hitsuyou ga arimasu","Since it's raining, you need to walk with an umbrella."
sent-0101,遊ぶ,Essential Verbs,週末に友達と遊びに行く予定です。,Shuumatsu ni tomodachi to asobi ni iku yotei desu.,I plan to go out and play with my friends on the weekend.
sent-0102,遊ぶ,Essential Verbs,子供たちが公園で遊んでいる。,Kodomo-tachi ga kouen de asonde iru.,The children are playing in the park.
sent-0103,遊ぶ,Essential Verbs,このゲームで遊びたい人は誰でも参加できます。,Kono gēmu de asobitai hito wa dare demo sanka dekimasu.,Anyone who wants to play this game can join.
sent-0104,遊ぶ,Essential Verbs,学校が終わった後、兄と一緒にビデオゲームで遊んだ。,"Gakkou ga owatta ato, ani to issho ni bideo gēmu de asonda.","After school, I played video games together with my older brother."
sent-0105,遊ぶ,Essential Verbs,私は犬と外で遊ぶのが大好きです。,Watashi wa inu to soto de asobu no ga daisuki desu.,I love playing outside with my dog.
sent-0106,当たる,Essential Verbs,宝くじに当たる夢を見た。,Takarakuji ni ataru yume o mita.,I had a dream of winning the lottery.
sent-0107,当たる,Essential Verbs,予言が当たることは珍しいことではない。,Yogen ga ataru koto wa mezurashii koto de wa nai.,It's not uncommon for prophecies to come true.
sent-0108,当たる,Essential Verbs,今日の天気予報は当たるといいんだが。,Kyou no tenki yohou wa ataru to iin daga.,I hope today's weather forecast is accurate.
sent-0109,当たる,Essential Verbs,彼女の言うことがいつも当たるので信頼されている。,Kanojo no iu koto ga itsumo ataru node shinrai sarete iru.,She is trusted because what she says always comes true.
sent-0110,当たる,Essential Verbs,あの先生のアドバイスはよく当たるので有名だ。,Ano sensei no adobaisu wa yoku ataru node yuumei da.,That teacher is famous for giving advice that often turns out to be correct.
sent-0111,当てる,Essential Verbs,くじに当てることはとても難しいです。,Kuji ni ateru koto wa totemo muzukashii desu.,It is very difficult to win the lottery.
sent-0112,当てる,Essential Verbs,彼は彼女の年齢を当てることができました。,Kare wa kanojo no nenrei o ateru koto ga dekimashita.,He was able to guess her age correctly.
sent-0113,当てる,Essential Verbs,当てるべき場所に赤いシールを貼ってください。,Ateru beki basho ni akai shiiru o hatte kudasai.,Please affix a red sticker on the designated spot.
sent-0114,当てる,Essential Verbs,彼はリーダーとして、チームのメンバーに役割を当てることが求められています。,"Kare wa riidaa toshite, chiimu no menbaa ni yakuwari o ateru koto ga motomerareteimasu.","As a leader, he is required to assign roles to the team members."
sent-0115,当てる,Essential Verbs,彼は予想を当てた時、とても嬉しそうにしていました。,"Yosou o ateta toki, kare wa totemo ureshisou ni shiteimashita.","When he guessed correctly, he looked very happy."
sent-0116,あてる,Essential Verbs,当てた人が多くてビックリしました。,Ateta hito ga ooku te bikkuri shimashita.,I was surprised that there were many people who guessed correctly.
sent-0117,あてる,Essential Verbs,質問に正確に答えを当てるのは難しい。,Shitsumon ni seikaku ni kotae o ateru no wa muzukashii.,It is difficult to accurately guess the answer to a question.
sent-0118,あてる,Essential Verbs,彼はクイズで答えを当てました。,Kare wa kuizu de kotae o atemashita.,He guessed the answer in the quiz.
sent-0119,あてる,Essential Verbs,彼女は彼がどんなプレゼントを欲しいかを当てました。,Kanojo wa kare ga donna purezento o hoshii ka o atemashita.,She guessed what kind of present he wanted.
sent-0120,あてる,Essential Verbs,私は宝くじを当てるために運試しをしました。,Watashi wa takarakuji o ateru tame ni untameshi o shimashita.,I tried my luck to win the lottery.
sent-0121,集まる,Essential Verbs,仲間たちが公園で集まって遊んでいた。,Nakama-tachi ga kouen de atsumatte asonde ita.,Friends gathered and played in the park.
sent-0122,集まる,Essential Verbs,週末には家族が集まって夕食を楽しむ。,Shuumatsu ni wa kazoku ga atsumatte yuushoku o tanoshimu.,"On weekends, the family gathers and enjoys dinner together."
sent-0123,集まる,Essential Verbs,今夜、クラスメートがカラオケに集まることにした。,"Kon'ya, kurasumeito ga karaoke ni atsumaru koto ni shita.","Tonight, classmates decided to gather at karaoke."
sent-0124,集まる,Essential Verbs,毎年、地域の住民が祭りに集まります。,"Maitoshi, chiiki no juumin ga matsuri ni atsumarimasu.","Every year, local residents gather for the festival."
sent-0125,集まる,Essential Verbs,社員が月に一度、会議室で集まって報告する。,"Shain ga tsuki ni ichido, kaigishitsu de atsumatte houkoku suru.",Employees gather in the conference room once a month to report.
sent-0126,集める,Essential Verbs,色々な切手を集めるのが趣味です。,Iroiro na kitte o atsumeru no ga shumi desu.,Collecting various stamps is my hobby.
sent-0127,集める,Essential Verbs,彼は古い硬貨を集めることに夢中です。,Kare wa furui kouka o atsumeru koto ni muchuu desu.,He is absorbed in collecting old coins.
sent-0128,集める,Essential Verbs,賛成意見を集めるために、私たちは皆の協力が必要です。,"Sansei iken o atsumeru tame ni, watashitachi wa minna no kyouryoku ga hitsuyou desu.","In order to gather supportive opinions, we need everyone's cooperation."
sent-0129,集める,Essential Verbs,毎月、食料品を集めて地元の食料銀行に寄付している。,"Maigetsu, shokuryouhin o atsumete jimoto no shokuryou ginkou ni kifu shite iru.","Every month, I collect food items and donate them to the local food bank."
sent-0130,集める,Essential Verbs,イベントの成功のために、多くのボランティアを集める必要がある。,"Ibento no seikou no tame ni, ooku no borantia o atsumeru hitsuyou ga aru.",We need to gather many volunteers for the success of the event.
sent-0131,会う,Essential Verbs,友だちに会う約束をしている。,Tomodachi ni au yakusoku o shiteiru.,I have made a promise to meet my friend.
sent-0132,会う,Essential Verbs,来週にまた会いましょう。,Raishuu ni mata aimashou.,Let's meet again next week.
sent-0133,会う,Essential Verbs,彼女と駅で偶然会った。,Kanojo to eki de guuzen atta.,I happened to meet her at the train station by chance.
sent-0134,会う,Essential Verbs,彼と会う前に、準備を整えたい。,"Kare to au mae ni, junbi o totonoetai.",I want to be prepared before I meet him.
sent-0135,会う,Essential Verbs,長い間会っていない友人に久しぶりに会いました。,Nagai aida atte inai yuujin ni hisashiburi ni aimashita.,I met a friend I hadn't seen in a long time after ages.
sent-0136,合う,Essential Verbs,心が合う友人と長い間付き合っています。,Kokoro ga au tomodachi to nagai aida tsukiatte imasu.,I have been in a long-term relationship with a friend whose hearts match mine.
sent-0137,合う,Essential Verbs,食材がうまく合って、美味しい料理ができました。,"Shokuzai ga umaku atte, oishii ryouri ga dekimashita.","The ingredients combined well, resulting in a delicious dish."
sent-0138,合う,Essential Verbs,この色が君の肌に合うね。,Kono iro ga kimi no hada ni au ne.,"This color suits your skin tone, doesn't it?"
sent-0139,合う,Essential Verbs,練習の成果が試合で発揮できて、チームの戦術に合っている。,"Renshuu no seika ga shiai de hakki dekite, chiimu no senjutsu ni atte iru.","The results of our practice were apparent in the match, and we fit well into the team's tactics."
sent-0140,合う,Essential Verbs,予定が合えば、二人で映画を観に行こう。,"Yotei ga aeba, futari de eiga o mi ni ikou.","If our schedules align, let's go watch a movie together."
sent-0141,謝る,Essential Verbs,彼はミスをした後、すぐに謝りました。,"Kare wa misu o shita ato, sugu ni ayamarimashita.","After making a mistake, he apologized immediately."
sent-0142,謝る,Essential Verbs,遅刻したことを先生に謝るべきです。,Chikoku shita koto o sensei ni ayamaru beki desu.,You should apologize to the teacher for being late.
sent-0143,謝る,Essential Verbs,彼女は心から謝る態度を示しました。,Kanojo wa kokoro kara ayamaru taido o shimeshimashita.,She showed a sincere attitude in apologizing.
sent-0144,謝る,Essential Verbs,彼は友達に無礼な言動をしたため、謝る必要があります。,"Kare wa tomodachi ni burei na gendou o shita tame, ayamaru hitsuyou ga arimasu.",He needs to apologize to his friend for his rude behavior.
sent-0145,謝る,Essential Verbs,誤解を招いたので、私は彼に謝るべきだと思います。,"Gokai o maneita node, watashi wa kare ni ayamaru beki da to omoimasu.","Since I caused a misunderstanding, I think I should apologize to him."
sent-0146,誤る,Essential Verbs,彼は質問に答えるのを誤りました。,Kare wa shitsumon ni kotaeru no o ayamarimashita.,He made a mistake in answering the question.
sent-0147,誤る,Essential Verbs,誤りやすい問題で気を付けてください。,Ayamari yasui mondai de ki o tsukete kudasai.,Please be careful with problems that are easy to make mistakes in.
sent-0148,誤る,Essential Verbs,私たちは計画を立てる際に重大な誤りを犯しました。,Watashitachi wa keikaku o tateru sai ni juudai na ayamari o okashimashita.,We made a serious mistake when planning.
sent-0149,誤る,Essential Verbs,信頼できる地図は、誤ることがほとんどありません。,"Shinrai dekiru chizu wa, ayamaru koto ga hotondo arimasen.",Reliable maps rarely err.
sent-0150,誤る,Essential Verbs,彼は誤って電話番号をダイヤルしました。,Kare wa ayamatte denwa bangou o daiyaru shimashita.,He mistakenly dialed the wrong phone number.
sent-0151,預かる,Essential Verbs,荷物を預かっておきます。,Nimotsu o azukatte okimasu.,I will hold onto your luggage for you.
sent-0152,預かる,Essential Verbs,犬を一週間預かることになりました。,Inu o isshuukan azukaru koto ni narimashita.,I am going to take care of the dog for a week.
sent-0153,預かる,Essential Verbs,友人から鍵を預かっています。,Yuujin kara kagi o azukatte imasu.,I am holding onto the keys for my friend.
sent-0154,預かる,Essential Verbs,預かったお金を使わずに、返すべきです。,"Azukatta okane o tsukawazu ni, kaesu beki desu.",You should return the money you held onto without using it.
sent-0155,預かる,Essential Verbs,子供たちを預かる責任は大変重いものです。,Kodomo-tachi o azukaru sekinin wa taihen omoi mono desu.,The responsibility of taking care of children is a very heavy burden.
sent-0156,預ける,Essential Verbs,銀行にお金を預けることができます。,Ginkou ni okane o azukeru koto ga dekimasu.,You can deposit money in a bank.
sent-0157,預ける,Essential Verbs,駅のコインロッカーに荷物を預ける。,Eki no koin rokkā ni nimotsu o azukeru.,Leave the luggage in the coin locker at the station.
sent-0158,預ける,Essential Verbs,旅行中に大切な品物はホテルのフロントに預けるべきです。,Ryokou-chuu ni taisetsu na shinamono wa hoteru no furonto ni azukeru beki desu.,"During the trip, you should leave valuables at the hotel front desk."
sent-0159,預ける,Essential Verbs,出張の間、友達に猫の世話を預けることにしました。,"Shucchou no aida, tomodachi ni neko no sewa o azukeru koto ni shimashita.",I decided to leave the care of my cat to my friend while I am on a business trip.
sent-0160,預ける,Essential Verbs,その秘密は彼に預けるしかなかった。,Sono himitsu wa kare ni azukeru shika nakatta.,I had no choice but to entrust that secret to him.
sent-0161,ぶつかる,Essential Verbs,彼は壁にぶつかってしまい、怪我をした。,"Kare wa kabe ni butsukatte shimai, kega o shita.",He bumped into the wall and got injured.
sent-0162,ぶつかる,Essential Verbs,駐車しようとしていた時、別の車とぶつかってしまった。,"Chuusha shiyou to shiteita toki, betsu no kuruma to butsukatte shimatta.","When I was trying to park, I accidentally hit another car."
sent-0163,ぶつかる,Essential Verbs,意見がぶつかることは、チームで働く際の一般的な問題だ。,"Iken ga butsukaru koto wa, chiimu de hataraku sai no ippan-teki na mondai da.",Clashing opinions are a common problem when working in a team.
sent-0164,ぶつかる,Essential Verbs,彼女は恥ずかしくて、壁に顔をぶつかりそうだった。,"Kanojo wa hazukashikute, kabe ni kao o butsukari soudatta.",She was so embarrassed that her face seemed like it would hit the wall.
sent-0165,ぶつかる,Essential Verbs,明日の試合でライバルチームにぶつかるんだ。,Ashita no shiai de raibaru chiimu ni butsukarun da.,We're going to face our rival team in tomorrow's match.
sent-0166,ぶつける,Essential Verbs,彼は壁に拳をぶつけた。,Kare wa kabe ni kobushi o butsuketa.,He hit the wall with his fist.
